Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
District Sales Manager(dsm),Udhampur,,Retail & B2C Sales Department,06-Aug-19,4,3,4,3,3,3,2,Overall ok,salary issues
Intern,Pune,,After Sales Service & Repair Department,09-Jun-23,5,5,5,5,5,5,5,All good,Work life balance
Quality Inspector,Noida,,,04-Jul-19,4,5,5,3,2,3,2,"Safety First, very very good Rule. Cab service. Rotational shift.",Only for one year job time system of ITI Student in this industry.
Supervisor Trainee,Jamshedpur,,,01-Jul-18,4,4,5,5,2,3,4,Tata Motors is a place where I can learn other works apart from my job. I like the fact that every colleague helps to learn new things around.,"Regards anyones Unique strength and hard work, high level incharges doesn't value it. There's no job security."
Coordinator,Meerut,,Back Office Department,03-Jun-18,5,5,5,5,5,5,5,I didn't get this job. Principal sood of vidya global school hired someone else instead of me. Even though i fulfilled all the criteria but they put someone else using my job code,It is embezzlement
Service Advisor,Erode,,Construction / Manufacturing Department,09-Jun-19,4,3,4,4,4,4,3,Tata motor ltd company are life is the best company,Tata motor work are to like
Executive  -maintenance,Jamshedpur,,"Operations, Maintenance & Support Department",08-Jun-19,4,3,4,4,4,4,3,Tata motors no.1 company,Tata motors no.1 company
Tata Motor Company In Opreator,Pantnednager Uk,,Export import Department,01-May-19,4,3,4,4,4,4,4,,
Quality Controller,Lucknow,,Quality Department,19-Jan,5,3,4,4,4,4,4,,
Operation And Maintenance Engineer,Sanand,Intern,,07-Nov-18,4,3,3,4,4,5,4,"Support to man power .
Good in rule and regulations.",Compensation is decent but growth is slow.
Cnc Operator,,,,01-Jun-19,4,5,4,3,5,3,4,Compony reputation & facility  is very good,Joinning process &criteria  very  critical
Quality Assurance And Testing,Rudrapur Pant Nagar,,Quality  Department,08-Jun-19,5,5,5,5,5,5,5,Yes,nothing
Apprenticeship,Jamshedpur,,"Operations, Maintenance & Support Department",02-May-21,5,5,4,5,5,3,5,I love working from Tata motors.my life goal work with tata motors,APPRENTICESHIP after  temporary work not given the opportunity for jobs
Stor Keepar,Mumbai,,,05-Nov-19,5,5,5,5,4,5,5,Hindi English,Tata motors is very good place of working.tata motors runs in very disciplined manner...
Diagnostic Expect Trainer,Tinsukia,,DET Department,07-Sep-19,4,4,4,4,4,1,4,Politics play a major role in tatamotors,
Internship Trainee,Pune,,IT Consulting Department,05-Jun-19,5,4,4,4,4,1,4,,
Customer Advisor,,,Digital Marketing Department,05-Feb-19,3,5,5,4,5,4,5,,
Production Engineer,Jamshepur,,"Operations, Maintenance & Support Department",04-Dec-18,5,5,5,4,5,4,5,,
Transporter Bills Processing,,,,06-Nov-18,5,3,4,4,4,4,5,,
Cnc Operator Cum Programme R,,Full Time,Engineering & Manufacturing Department,06-May-18,5,5,5,5,3,5,5,Job was very nice and everyone was very good too learn and do job,"Good...,,"
Customer Care Executive,Kasar Wadi,,Have commercials  Department,05-Apr-20,3,5,5,5,3,5,5,"Innovation, new models",Appraisal
Service Engineer,New Delhi,,Engineering Department,03-Feb-19,4,3,4,2,1,3,3,Nice experiance..,Salry issue
Sales Executive,Agra,,BD / Pre Sales Department,09-Sep-19,5,4,5,3,5,5,4,I love working there but unfortunately I was not on payroll of Tata motors.wish I could find a place there again.,"I think for me Tata motors is
The best ever organization I have worked so far.I didn't dislike anything about Tata brand"
Trainee Service Manager,It Was In Gurgaon,,Service Department,03-Aug-18,5,5,4,4,3,4,5,"Here only temporary position, contract for 6 months.
They partiality between permanent and contractual person. You feel this every time.
Management is only work for permanent workers. Not for contract worker.",Company culture is very nice .
Technician,Pimpri-Chinchwad,,Research & Development Department,09-Jun-21,2,5,5,5,5,5,5,Job security for diploma and ITI students is not good .,Good work environment and lots of things to learn
District Sales Manager(dsm),Jaipur,,Rso  Department,05-Jul-18,5,1,1,3,1,1,1,Salary,Work environment
Diploma Trainee Engineer,"Pantnagar, Uttarakhand",,,06-Dec-22,5,5,5,5,5,5,5,,
Supervisor,Jamshedpur,,,21-Aug,4,5,5,5,5,5,5,,
Mail Room Coordinator,Hubballi-Dharwad,,Accounting & Taxation Department,06-Jan-19,3,4,4,3,5,5,3,,
Neem Trainee,Jamshedpur,Full Time,Assembly division Department,06-Jan-19,1,3,1,3,1,5,1,Work environment is good,There is no job security
Store,Pune,Full Time,Store Department,02-Apr-19,5,3,4,5,4,5,4,Work in environment security.,"Nothing, all good."
Maintenance Engineer,,Full Time,"Operations, Maintenance & Support Department",02-Jul-19,5,4,5,3,5,5,4,Overall is good but salary increment is very poor as compare to other in companies of industry.,Very nice teammates and co-workers. Very supportive
Test Engineer,Jamshedpur,,Engineering & Manufacturing Department,01-Nov-18,5,5,5,5,5,5,4,Undisciplined workers,"Team work, support, training, work environment"
Associate Engineer,Lucknow,,Production & Manufacturing Department,18-Oct,5,5,5,5,3,5,5,Salary not satisfactory,Yes
Iti Fitter And Welder,Mumbai,,Anything  Department,03-Jun-19,4,3,4,3,4,4,4,No,Good work environment and the solving the progress
Graduate Engineer Trainee,Uttarkhand,,Engineering & Manufacturing Department,06-Mar-19,4,3,3,3,3,3,3,Work timing and environment,Excellent
Service Engineer For CNG Buses,NEW DELHI,,After Sales Service & Repair Department,19-Feb,5,5,5,5,5,5,5,Nothing,Freedom of using skills
Production Manager,Pune,,"Operations, Maintenance & Support Department",07-Jan-19,5,5,5,5,5,5,5,Nothing,
Mantinance Fitter,Rudrapur,,,21-Mar,4,3,4,3,1,4,1,Good work Enyarment and worker sefty,There are workers job feature are not safe
Praduction Supervisor,Add Building,,Plant ³ Department,07-Mar-21,4,4,3,4,4,5,4,Good,Excellent
Front Office Manager,EAST GODAVARI,,Retail Store Operations Department,06-Sep-19,5,5,4,4,4,4,4,work life balance,self development opportunities are less
Research And  Development Engineer,Pune,,Engineering & Manufacturing Department,08-Dec-18,4,5,4,4,4,4,4,Culture of the Tata motors is very appreciative and working with my seniors is very learnable...,I want to say that I dislike the most is employee's not support
Junior Associate,Pantnagar Uttarakhand,,"Operations, Maintenance & Support Department",02-Dec-18,4,5,3,4,4,5,2,Company provides a lot of opportunities to learn and grow.,"Good communication skills with customer, and good communication skill with team, and good work environment and culture, good support for teammates and management, company policies are good and good salary hike and bonus every year."
Service Engineer,,,,01-Mar-19,4,5,4,3,5,5,3,Nothing,Open culture and management
Quality Engineer,"Pune, Maharashtra",,"Operations, Maintenance & Support Department",04-Jul-22,5,4,4,5,5,4,5,Nil,Good
Business Excellence And TQM Head,Bengaluru,,Business Excellence Department,07-Nov-20,5,5,5,5,5,5,5,Yes,Yes
Trainee,Pantnagr,,Prodecon Department,08-May-19,5,5,5,3,5,5,5,,
Material Management Executive/manager,Chennai,,,08-Apr-19,1,4,5,4,5,4,5,,
Manager- Supply Chain Management-Materials-Sourcing Buying-Procurement-Inventory-CAPEX,Pune,Full Time,ERC Proto  Department,09-Apr-22,1,1,1,1,1,1,1,Employees not leaving good companies but Bad Managers,Nepotism
Customer Care Executive,Shrirampur,Full Time,Customer Care Service Department,06-Oct-21,5,5,5,5,5,5,5,It was a good experience ylto work with TBSSL. There was a lot to learn like work dedication pressure handling how to interact and acknowledge the customers and there queries how to pitch your product to the customer and convince them and much more. Company policies was good.Friendly and energetic culture. Superiors are helpful and work like a team. Overall good experience.,Nothing except slow career growth and salary
Electrician,Uttra Khand,Full Time,Paint shop Department,05-Nov-19,5,4,1,3,2,2,2,"Tata motors company  very clean looking,  Good canteen  facilities common,  free traveling..","I work in Tata motors company  Uttar  Khand 
Department: - Paint Shop 
Work Period: - 1 year 10 month 
I also others  company: - Essar steel Surat, and Ashoka Leyland  Hosur Tami  nadu...."
Temporary Operator,Pune,,"Operations, Maintenance & Support Department",05-Sep-19,5,5,5,5,5,5,5,Safety,Very slow growth
Rural Business Coordinator,Indore,,Enterprise & B2B Sales Department,04-Mar-19,5,5,5,2,5,5,1,Slow growth and salary increment,Tata motors good company food quality very good salary very good..
Technician,Nagpur,,Mechanical Department,02-Nov-18,4,5,5,5,5,5,4,Nothing...,"There is chance to learn about electrical panels,there is so many equipment that is useful for our career."
Maintenance Engineer,Pune,,"Operations, Maintenance & Support Department",01-Oct-18,4,4,4,4,4,4,4,Nothing,There is lot of politics. Employees on off role are treated like slaves n humiliated. There is no respect for work done.  Ladies hr bosses have no experience n knowledge about their responsibility of work. Life is miserable for off roll emploees.
Senior Hr Executive,,,HR Operations Department,04-Aug-18,3,3,3,5,1,3,2,Lot of politics. You have to be at the mercy of immediate bosses. Work efficiency has no value.,Nice working place
Temporary Workman,Lucknow Up,,"Operations, Maintenance & Support Department",02-Jun-22,5,5,5,4,4,5,5,Not job parmanent,I am good feeling and good skills development  in   tata motors Ltd Pantnagar
Graduate Engineer Trainee (get),Uttarakhand,,,05-Nov-21,5,5,5,5,5,5,5,Larger gap between parmanent and temporary  and more deffer in salary both of them,
Iti Electrician,TML Pantnagar,Full Time,Frame shope Department,03-Nov-19,5,5,5,5,5,5,5,good,Sujeet Kumar Rajput
Tata Motors,Pantnagar,,Production Department,05-Mar-19,5,4,4,3,2,4,4,Training,Job security
BOPT,Jamshedpur,,Engineering Department,02-Jul-19,5,4,5,4,5,5,4,Good,Employment growth
Audit & Tax Assistant,RAJASTHAN,,STATE GOVT PVT COM.FROM RAJASTHAN Department,04-Jun-19,5,5,5,5,5,5,5,Sir I want a job,no
Hr Officer,Gurgaon,,HR Operations Department,02-Nov-18,5,5,5,5,5,5,5,Working culture for female is very good & flexi,Nothing
Diploma Trainee,Pune,,,04-Dec-18,5,4,5,2,1,3,1,While working there was tremendous support from seniors,As i was appointed as a trainee for one year after it's completion there must be some jobs or carrer opportunities by the company as per the talent but none of us got it any.
Executive,Jamshedpur,,"Operations, Maintenance & Support Department",06-Nov-18,4,4,5,3,4,5,2,Learning scope and work-life balance,Career growth and opportunities
Accounts Executive,Kadalur,,Accounting & Taxation Department,02-Dec-21,5,4,4,3,5,5,5,Good work environment and culture,Nill
Service Manager,Tata Motors Panchkula,,"Operations, Maintenance & Support Department",09-Sep-18,4,3,4,1,1,2,2,Tata vehicle lois my first also in Indian army I like Tata motors because my starting of work as a mechanic in Tata vehicle in 1990,Nothing but some improvement reqd in Tata vehicle
Graduate Engineer Trainee,Pune,,Engineering Department,08-Aug-18,5,5,5,5,5,5,5,The company is rapidly adopting a new technology and at this day company has launched various types of models in pvbu.Its good for the beginer to learn new things.,Work pressure is very high.
Assistant Manager,Belur,,Security Officer Department,02-Sep-19,5,5,5,2,4,5,5,Yes,Salesman
Sales Executive,Ahemadnagar,,BD / Pre Sales Department,01-May-19,5,4,3,5,4,5,4,"Good work tata motors
Tata motors se bahut kuch sikha hu
Thanks fo tata motors","Mobile use nahi karna
Kam ke samay bat nai karna"
Machine Oapretar,Sanand,,Powertrain  crankshaft line Department,04-Feb-19,5,4,5,4,5,4,4,Company is verry good job and company is best car looking.,This is the good company
Field Executive,Faridabad,,Finance Department,01-Dec-18,5,5,4,4,4,4,4,"arTata motors have a very Good atmosphere & culture in every Area Office , We are free to do the New initiative & Idea in our working place .","Company didn`t have enough command over their Dealers , & the People who have working on third party Role don`t get the opportunity to execute their work to company Superior . For Third Party Role Staff have very Rare chances to be in On Role even on Good Performance ."
Rural Sales Promoter,NAGPUR,,BD / Pre Sales Department,04-Mar-18,5,5,4,4,4,4,4,Company policies,Nothing
Executive,New Delhi,,"Operations, Maintenance & Support Department",01-Apr-22,5,3,5,5,5,5,5,Job,Marathi
Officer,Pune,,,04-Feb-19,1,5,1,1,1,1,2,10year expriance,15000abou
Automobile,Pune,,Sales Department,01-May-19,5,1,5,5,5,5,5,Good work life,Nothing
Territory Sales Manager,Bhubaneswar,,Retail & B2C Sales Department,03-Mar-19,5,5,5,5,5,5,5,,
Temporary Operator,,,"Operations, Maintenance & Support Department",04-Dec-19,4,5,1,4,2,4,5,,
Intern,Jamshedpur,Intern,Engineering & Manufacturing Department,09-Jun-19,3,4,3,4,5,3,4,Nice travel hostel food facilities. Decent training .High job security. As an intern very less professional growth. Learning depends on your commitment. Chill work environment. Scope of innovation is less.,No learning
Senior Manager,Pune,Full Time,Engineering & Manufacturing Department,05-Oct-18,4,4,3,4,4,4,4,Not much work pressure,Responsibilities are split among so many departments
Quality Inspector,Pune,Full Time,Production & Manufacturing Department,01-Oct-18,4,4,5,4,4,4,3,I learn so much which I can't imagine. Also I learn how to do our work in any trouble.,Only grouth is not available in it
Executive Research Development,Pune,Full Time,Pharmaceutical & Biotechnology Department,18-Aug,5,5,5,5,5,5,5,The company is open to innovation and readily adopts latest tech.i am very glad and i love the fact that i am a part of a team .its a speechless that company platform is good to enhance my skill. I loved it thanks naukri....,All ok
It Fresher,Hyderabad,,,01-Mar-19,4,4,4,4,4,4,4,That teach me so many think n I learn how to handle the customers,Company I decent but the growth is slow
Senior Manager,Lucknow,,Software Development Department,01-Feb-19,1,1,1,1,1,1,1,nothing,work culture.. no process no system
Senior Manager,Lucknow,,,06-Dec-22,5,5,4,3,5,5,3,Great work culture and work life balance.,Politics Is too much. Not so good salary increment
Production Engineer,Lucknow,,"Operations, Maintenance & Support Department",01-Jul-19,4,4,4,3,4,3,3,...,...
Iti,Pune,,Chikhali Department,06-Apr-19,5,4,3,4,3,5,5,All Wokknot,Politics
Machine Operator,Rudrapur,,Power train (engine shop)   Department,02-Sep-18,4,4,3,3,4,4,5,Company managements of policy is very good and salary at quality product on depend,"Work Environment , career growth , work life balance etc."
Deputy General Manager - Employee Relations And CSR,Hubballi-Dharwad,Full Time,HR Operations Department,08-Jul-18,4,5,2,3,5,5,3,Job Empowerment and Learning on the Job was excellent.  One has to spend atleast 3 years in TML to understand the nuances and then will feel good. Although I was in support function my relationship with Operations was excellent and i enjoyed working with them.,Decision making was very slow if it was not from Operation or Sales. Succession  and Career planning needs improvements as there was no clarity including any Developments discussion from Corporate. Many decision was based on Performance rating without due consideration to potential.
Administration Manager,Delhi And Chandigarh,Full Time,Administration Department,07-Sep-19,5,5,5,5,5,4,3,"Good pay master, Carrier growth on working experience and ablilty and appraisal on your work experience, and environment of work is peace full and good travel policy and if u are hardworking and knowledgeable u must get regatds.",No comments
Back Office Executive,Lucknow,Full Time,HR Department,06-Nov-18,5,5,5,5,5,5,5,The company is very good for lurn a new things and develop your thoughts and feelings better alway.,Nothing
Qa Engineer,Pantnagar,,Production & Manufacturing Department,01-Nov-18,4,4,5,3,3,5,2,Its a milti skilled company which is deserving for a bright  future,After a very long time career will be bright but secure reason is one of the best
ITI Automobile Quality Gets And Service Advisor,Sanand,,Production & Manufacturing Department,06-Jan-19,4,3,4,4,2,5,4,Tata Motors sanand plant superb,Gujarati hindi English
Hr,Pune,,,07-Dec-18,5,5,5,5,5,5,5,"Safety , culture",No dislikes
Sales Executive,Sasaram Bihar,,BD / Pre Sales Department,07-Jul-21,4,2,2,2,2,2,3,So many thing to learnt.,Salary problem
Service Engineer,,,,06-Jan-20,5,5,5,5,3,5,4,Awesome work environment and cooperative people,Not yet
Supplier Quality Engineer,Lucknow,,Procurement & Purchase Department,03-Jan-19,5,5,5,5,3,5,4,It is great company and having excellent cultural.,Nothing
Sales Associate,Delhi,,BD / Pre Sales Department,04-Dec-18,4,5,5,5,5,5,5,,
Office ExecutiveMicro ManagementPRO,Worli,Full Time,Payroll & Transactions Department,06-Aug-18,3,4,3,2,2,2,1,"Tata Motors is the great company to work with.The flow of the work was great compare to the other company.Facilities of Breakfast,Lunch and evening snacks provided by Company was awesum.Bus facilty was as great according to the timing. I would like to say it was one of my best experience working with such a great company.",I was working as an associate in Tata Motors.The comparision of the person working on payroll and associate we come to know dat was guilty. Our increment structure was pathetic and horrible.Coordination with associates hr was disgusting.So i wud tell u if  u anybody wants to be part of Tata Motors do not work as associate over there caz there is no growth and future....
Diploma Engineer,,Full Time,,06-Nov-19,2,1,2,2,1,1,1,"I was working as store assistant in seafty material store   in tata motors.i learn there in inventory stock mezerment. Keeping material in rack, bin & compartment as fifo &issuing lifo method.i was recording there mayerial inward & outward enrty in my store book. If there i found marerial is damage in transport that time i was catchphato & send my manager. Untill they reply i was not reciving that material in store and some time we return such material to supplier....Read More",My job was only valid for 7 months as temparory period. This i dont like
Store Assistant,Pune,,Administration Department,07-Jun-18,5,1,2,2,1,1,1,Ya,Ya
Electrical Maintenance Engineer,Lucknow,,"Operations, Maintenance & Support Department",05-Jun-19,4,3,4,4,1,5,1,All good,Payment
Helper,Mumbai,,Mechanical  Department,19-Feb,1,3,4,3,5,5,5,Team work.,More leadership driven and less process in place.
Quality Assurance Engineer,Pune,,Production & Manufacturing Department,04-Jun-20,5,3,4,3,5,5,5,"Work environment, travel,salary","Politics,career growth"
Deputy General Manager Production,Jamshedpur,,Production & Manufacturing Department,01-Jun-23,4,1,1,1,2,1,3,"i am glad at working period Tata motors and gain more opportunity ,good environment and more innovative ideas developed and update with training session",only timing more than other job.
Electrician,Lucknow,,Electrician  Department,20-Jun,4,4,4,3,5,5,3,Good,Nothing
Service Advisor,Satna,,service Department,02-Sep-18,4,3,2,3,5,4,3,,
Apprentice,Telco,,Retail & B2C Sales Department,01-Jan-21,2,3,3,3,5,5,4,,
Deputy General Manager,Jamshedpur,,Procurement & Purchase Department,02-Feb-19,4,4,5,4,3,5,4,Learning freedom..,Hr policy
Officer,Jamshedpur,,,01-Mar-21,5,5,4,4,4,5,4,Great company to work with,No comments
Trainee,Pantnagar,,Biw Department,19-Dec,4,3,3,2,2,4,2,Rules,Iti trainee ofter time clearance very bad and sad time.
Apprenticeship Trainee,Jamshedpur,,,03-Sep-19,5,5,5,5,5,5,5,Good,Training
Diploma Engineer Trainee,Rudrapur,,,05-Apr-19,4,5,5,5,5,5,5,14000/month,Good
Iti Fitter,Pantnagar,,Production  Department,02-Nov-18,4,3,4,5,5,5,5,Yes,No
Senior Quality Engineer,Pune,,IT Consulting Department,06-Dec-18,4,3,4,2,1,3,3,Lot of  things to learn in TATA MOTORS,Job security
Automobile Engineer,Mumbai,,Construction / Manufacturing Department,04-Oct-18,3,5,4,3,4,4,5,TATA MOTORS IS VERY GOOD COMPANY,"TRAINING IS VERY GOOD ,CAREER GROWTH IN TATA MOTORS"
Maintenance Manager,New Delhi,,,19-Jun,5,5,5,3,3,5,4,"Management, company policies",There is a lot of politics and the management doesn’t address our issues. Salary is decent but career growth is slow. There is a bond of 2 years before which you cannot resign. On the job training is not given to new joinees.
Period,Pimpari,,Store room Department,01-Jul-20,5,5,5,3,3,5,4,,
Computer Operator And Computer Engineer,Supaul,Full Time,no Department,01-Apr-19,3,3,3,3,3,3,3,yess,yes
Diploma Mechanical Engineer,Pantnagar Uttarakhand,,Engine machine shop part & process quality assurance Department,04-Jan-19,5,5,5,5,3,5,5,"Job training, work environment ,innovation,& travel policy is very good.",There is very less chance to parmanent job for diploma engineer so no job security.
Logistic Assistant,Gurgaon,,SCM & Logistics Department,08-May-18,5,5,4,4,4,5,4,Tata motors is good company for emplayes and there is good growth and job security also they provide,"Only one think is bad which is for offroll employees. 
Offroll employees don't have benefits like onroll and also there is no growth and good increments for offrolls."
Iti Diesel Mechanic,Pune,,,08-Aug-17,5,5,5,5,5,5,5,Give me a chance to be a part of the company again,Job security
Quality Inspector,Uttrakhand,,,03-Jun-20,4,1,1,2,1,5,1,Job security is good,Growth plan is very poor
Technical Support Associate,Gujarat,,"Operations, Maintenance & Support Department",05-Jul-19,5,3,4,3,3,5,4,Tata motors is the best place for startup and learning .,"Nothing ,Avery thing is good in Tata motors"
Officer,Jamshedp,,"Operations, Maintenance & Support Department",02-May-19,4,3,4,3,3,5,4,I also like the policy for re hire employee,"Compensation is decent , but growth is slow"
CMM Incharge With 1.3 Year Experience,Sanand,,CQ Department,08-Jan-19,5,3,2,3,5,3,1,,
Pune,,,,03-Oct-19,5,5,5,5,5,5,5,,
Team Leader,Nagpur,,sales and finance Department,05-Mar-19,5,4,4,4,4,4,4,,
Diploma Engineer Trainee,Lucknow,Full Time,,01-Mar-19,5,5,5,5,4,5,4,Behaviour of senior and team work experience,"Job security of DET,s"
Team Member,Pune,Full Time,PF section  Department,07-Oct-21,5,5,5,5,5,5,3,That is a good experience,Yea I like working the tata motors
Temporary Staff,Pune,,SCM & Logistics Department,09-Jan-20,2,1,2,1,2,1,1,Salary,"This company is the best or safety awareness.the company is environment is good, best traveling facilities and food facilities. Learning skill is best."
Diploma Engineer Trainee,Rudrapur Pantnagar,,,05-Mar-19,4,2,3,4,2,4,1,"This always keeps the training foot, the company does not roll over",Not so much work load
Team Member,,,,20-Jun,5,5,5,5,1,5,1,Target of vehicles assembly not achieve 100 percent,"Good in terms of job security, work life balance and on-site opportunities as compared to other mass recruiting companies. But don't expect salary hikes, bonuses and healthy culture. Basically it's a Government-like  structure company. Boot licking will help u in long way.  Join Tcs when you are at higher position and near your retirement and ur life will go smooth."
Mechanical Operator/ Boiler Operator,Sanand,,tcf Department,20-Jun,3,5,5,5,1,5,1,Hike and boot licking culture,Yes I like it job
Suport Service Engineer,Pimpri,,Engineering & Manufacturing Department,06-Mar-19,5,1,3,1,1,2,1,No words,hi
Software Test Engineer,Gandhinagar,,Quality Assurance and Testing Department,06-May-18,3,1,3,1,1,2,1,hii,
Sales Executive,Madurai,,BD / Pre Sales Department,02-Aug-21,3,5,5,5,5,5,5,,
Car Driver,Mumbai,,dirving Department,01-Jul-19,5,5,4,1,4,2,3,,
Technician Electrical,Delhi NCR,Full Time,"Operations, Maintenance & Support Department",05-Apr-19,2,5,5,5,5,5,5,career growth,polotics
Production Executive,Jamshedpur,,"Operations, Maintenance & Support Department",09-Mar-19,2,1,2,1,2,2,1,Its just fine.,Working culture.
Assistant Manager - Pmo,Jamshedpur,,Product Development Department,07-Jan-19,4,3,4,3,4,3,3,....good,Culture
Diploma Engineer Trainee,Lucknow,,,08-May-19,5,5,5,4,3,5,4,Tata motors Lucknow is best for fresher and experience both but job security for fresher and trainee not good.,I like working in Tata Motors Lucknow .
Team Leader,Sanand GIDC,,,08-Jun-22,4,5,2,3,2,3,2,It's also good company in my career,"No process, working like donkey"
Sr Manager Scm,Sanand,,Procurement & Purchase Department,04-Nov-18,3,3,3,2,3,2,2,It's Basic Values which are people forget now,People forget the core values of Tata motors.
Mechanical Technician,Ahmedabad,,"Operations, Maintenance & Support Department",09-Aug-18,4,4,4,3,4,3,2,I am working as technician but i am in contract. So I feel unsatisfied. But work environment is good.,I am working in contract.
Design Engineer,Pune,,Engineering & Manufacturing Department,01-Jun-19,4,4,4,3,4,4,4,Good place for family,Low salary
Supervisor,Jamshedpur,,"Operations, Maintenance & Support Department",04-May-19,4,4,4,3,4,4,4,It's sees every employee as a family.,Cuttlement in facilities
SR. Setter Operator,Kharagpur,,Tata steel bearing div Department,08-Mar-19,5,5,3,3,4,4,3,,
Customer Support Manager,Rajkot,Full Time,"Operations, Maintenance & Support Department",09-May-19,3,2,4,2,4,3,1,Good&happy,Job security
Mechanical,Chennai,Full Time,Mechanical Department,01-Mar-19,5,2,4,2,4,3,1,"Doing job in this company, is best opportunity for those who starts their career. Great company culture. I worked in Training Department, company provides 4 days induction training and 4 day technical training  for new comers. Candidate can easily learn about 5S, TPM, QCC, PDCA, SQDCPME, 7 Diamond, and many other MNC concept, which is little bit harder for others. This company's production system is combine of Manually and Robotics, so best for learners. And best is you can learn many management tricks.
Overall Great experience....Read More",Nothing
Iti Turner,Pimpri-Chinchwad,Full Time,Axel housing line Department,04-Jan-19,4,5,5,5,5,5,5,"Good brand to work with. They have structured learning programs for development. Perfect payment of salaries and other benefits.
Vast line of businesses to learn from.","Too many people at the same level, makes career progression tougher. Work life balance and work satisfaction purely depends on the superior under whom you are working with."
Weld Shop Trainer,Sanand,,,02-Nov-18,5,3,4,4,4,4,2,"Work-life balance, work environment",career growth
Territory Sales Manager,Vijayawada,,,06-Nov-21,4,5,5,4,3,5,4,"Excellent work life balance, decent salary, opportunity to learn","Helps to learn but has no future in company
Good for getting trained in company because we get many opportunities in life as worked before in this company"
Omkar Jadhav,Pune,,Purchasing and supply chain management. Department,06-May-19,5,1,4,4,3,3,2,Overtime works,There is a lot to learn and a good exposure to machines.
Senior Manager,Pune,,Software Development Department,07-Oct-18,4,5,5,5,5,5,5,"No job security, work culture is not good, no scope for career growth ahead.",
Senior Manager - HVAC Development,PUNE,,Software Development Department,06-Mar-19,4,5,5,5,5,5,5,,
Traniee Technician,Hubli-Dharwad,,"Operations, Maintenance & Support Department",03-Dec-18,5,4,4,4,5,3,3,,
Supervisor,Jamshedpur,,,02-Aug-18,2,5,4,4,5,5,4,,
Iti Electrician,Pune,,H2 AMS Maintenance  Department,03-Mar-18,5,4,4,4,2,4,3,"I have awesome experience in a Tata motors,  Excellent staff, doing work with enjoyment, trips, and all
Permanent employees so caring, always shearing working experience, and helping any problems
Thus easily solve the problems on solution. 
My Supervisor always teaching new technology and part information
Mostly I like in morning shift meeting points a an sefty contact 
Travelling no issues 
Canteen facilities a one 
One of the best experience 
Tata motors...Read More","No I don't Dislike working in Tata motors
But I Don't like BSI systems 
All Temporary employee job ke liye aate hai. Trust on Tata motors
But company kya karti hai BSI pe bhej deti hai. 15 day, 25 day ya one month
Lekin itne din bina kam ke pune rehana not possible ghar bhi Chale gaye toh room rent and other compulsory doing pay"
Job Trainee Painter,Lucknow,,Manufacturing Department,03-May-21,4,3,4,4,3,4,3,Good,Good
Trainee,Pantnagar,,,08-Nov-19,3,1,1,2,1,3,1,nothing,"training, career growth, work enviorment"
Iti Fitter,Uttarakhand,,Paint shop Department,02-Jun-19,1,1,1,1,1,1,1,1year,Vikesh
Senior Manager,Pune,,Procurement & Purchase Department,02-Dec-18,4,4,3,4,4,4,3,Work life balanced,"Environment ,Salary ,training and no carrier growth/Appraisal is not good"
Customer Service Coordinator,Lucknow,,Non Voice Department,03-Sep-18,5,1,1,1,1,1,1,I am learning very more things and i understand the industrial environment and how to communicate with team member and our senior and junior officer.,No dislikes.
Diploma Engineer Trainee,Ahmedabad,,,01-Aug-18,4,4,5,4,4,4,4,Upgrade yourself,Salary
Dispatch Executive,Pune,,Despatch Department,05-Jan-19,5,5,5,5,5,5,5,Nice,Good
Senior Associate,PUNE,,"Operations, Maintenance & Support Department",06-May-19,1,1,1,1,1,1,1,,
Computer Operator And Computer Teacher,Pune,,Ptpa Department,01-Mar-19,2,1,1,1,1,1,1,,
Opretor,Basti,Full Time,not Department,03-Jan-19,5,4,4,4,5,4,5,"tata is better than other company 
very sefty in this company",no unlike
Customer Support Engineer,Thane,,Administration Department,09-Dec-18,4,3,5,4,4,4,4,Good company for growth,Nothing
Trainee Engineer,Jamshedpur,,,09-Oct-18,4,2,3,1,2,4,1,"Working environment are too good.
It is one of the best automotive industry in the world.",Job security
Iti Welder,Pune,,E6 Department,03-Sep-18,2,2,3,3,5,5,4,"Tata Motors is a best truck car,bus,3rd rank manufacturers company and work with ever change and my life mnc listed company",No
Service Supervisor,,,,18-Aug,5,5,5,5,5,5,5,"Talk about teammates,",Appraisers
Elections,Nominee City*,,,04-Sep-19,5,5,5,5,5,4,5,All over good,Good
Production Supervisor,Ahmedabad,,Construction / Manufacturing Department,08-Jan-19,5,3,4,5,4,4,4,TATAMOTORS department is very comfortable for job.,Actually I m working in FMS service department at New Delhi that's why only other think very great company.
Service Executive,New Delhi,,"Operations, Maintenance & Support Department",08-Sep-18,5,3,4,4,4,5,5,Gud,Nothing
Deputy Manager Training,Gurgaon,,Corporate Training Department,08-Mar-19,5,5,5,5,5,1,3,Only a Big brand name with his great past leaders and their thinking about employees,"Daily late stay, No control over labour, only fire fighting at last moment, company who doesnt want to develope good culture and work processes, employe progress is pathetic, increament below inflation rates.."
Assistant Manager,Tata Motors Sanand Plant,,"Operations, Maintenance & Support Department",05-Jun-18,3,1,1,1,2,,,,
