Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Supervisor Trainee,Pantnagar,,,21-Mar,3,1,2,3,1,4,2,"Work culture,  management , policies",The only thing good is the company bus facility.
Temporary Worker,Jamshedpur,,Production Department,04-Feb-19,1,1,1,1,2,1,1,"No growth, no future, free food causes liver disorder",Tata Motors
Draiving,Pune,,Security fire  Department,08-Apr-19,4,3,3,3,5,5,4,2014 to2018 in security department and good job,Work culture is very good..
Senior Associate,Pune,,,02-Apr-22,5,5,3,5,2,5,3,Job not sucure,"Vary good environment and its uses latest technology,and time manangement."
Automobile Technician,Jamshedpur,,Supplier quality assurance (SQA). Department,02-Mar-19,5,5,5,5,5,5,5,Any employee cool and refresh,I have good experience from TATA motors members
Spray Painter,TATA Motors Sanand Neno Plant,,Production  Department,09-Jul-19,5,5,5,1,5,5,1,I have been working 3 year in Tata but they didn't gave me Parmenant employee,Familiar company. In today's market it's a very good company.
Senior Assistant,Mumbai,,Enterprise & B2B Sales Department,02-Mar-19,5,5,5,5,5,5,5,Nothing is negative.,Job security. Clean work area and residential colony.
Product Design Engineer,Jamshedpur,,Engineering & Manufacturing Department,04-Jan-19,4,3,3,4,4,2,3,Work culture/Boss culture. Limited scope of growth.,Yes
Turning In Lathe Machine,Eg Mumbai,,Yes Department,02-Oct-19,4,4,4,3,4,3,4,Yes,Tata culture
Senior Associate,Pimpri,,"Operations, Maintenance & Support Department",04-May-19,4,3,5,4,4,5,4,Nothing else about dislike,
Plant Finance,Pimpri-Chinchwad,Full Time,Plant finance  Department,02-Apr-19,5,5,5,5,5,4,4,Working with Tata motors is simply aswme.we can learn so many new thinks that will heance ur skill and work culture is too good.innovation always well come by management irrespective of level of work ur doing .happy to be part of tatamotors family .,No
Iti Welder,Sanand,Full Time,Maintenance Department,04-Mar-21,1,2,3,2,1,2,1,Good work and management so proud TATA MOTORS,Not politics
Sr Custmer Care Excutive,Hyderabad,,Sr cse Department,07-Jun-19,5,4,5,4,5,5,3,Company growth  is not bad company  is good,There is no growth
Intern,Pune,,X4 Product Line Department,09-Apr-19,5,4,5,5,4,5,4,Learning about work (work experience),confidential data
Executive,Jamshedpur,,Procurement & Purchase Department,09-Nov-18,5,4,4,4,5,4,4,"The company is open to innovation and readily adopts latest technology. I love the fact that i am a part of a team that markets reliable, high quality products and has a global client base.",Company is decent but now growth is very slow.
Trainee,Pune,,,05-Jul-19,5,5,5,5,5,5,5,Very good compony. Good environment. Good team.,Nothing. My work experiance with Tata Motor was excellent
Purchase Engineer,Pune,,Procurement & Purchase Department,08-Apr-21,5,5,4,5,5,5,4,"Good work life balance, good culture, good place for work",They not consider contractual employees for permanent payroll
Iti Diesel Mechanic,Pune,,"Operations, Maintenance & Support Department",01-Oct-19,5,5,5,5,5,5,5,Good,marathi
Optometrist,Jamshedpur Jharkhand,,Other Hospital Staff Department,19-Mar,5,4,5,4,2,5,2,Same work same pay as pay roll employee,I dislike different policy for same post
Team Leader,"Thirupathi,Nellore",,"Operations, Maintenance & Support Department",18-Nov,4,4,5,5,5,4,4,"It is an Indian company,hyndai company other country it is almost vehicle design copied by Audi and others but Tata there is no copied thats i liked.","JLR Recieving and its success ,ford company also sales in lowest ratings to Tata ."
Diploma Neem Trainee,Jamshedpur,Full Time,Engineering Research Centre Department,08-Feb-19,4,4,5,3,3,5,4,"In Tata motors limited,the work environment is too much good.The incharge and supervisor support me for trained as soon as possible.",As a trainee I get too much pressurized for production.
"MANAGER - Emission Testing  Operations, Calibration & Maintenance","Sanand, Gujarat",Full Time,"Operations, Maintenance & Support Department",01-Feb-23,5,4,4,4,5,5,2,Employee relations,Working like government officials.
Receptionist,,Full Time,Administration Department,02-Apr-20,2,1,1,1,2,2,3,Good,Tata motors providing very good experience and knowledge we learned form how to work in a organization with team and how to manage people
Production Supervisor,Pune,,"Operations, Maintenance & Support Department",04-Jul-19,5,1,1,2,2,3,5,I have I only one problem that shift was changed in a weak it's not like for me personally,Gain knowledge
Sap Scm Consultant,Lucknow,,SCM & Logistics Department,09-Oct-19,5,5,5,5,5,5,4,Nothing,Ethical
Executive,Pantnagar,,HR Operations Department,08-May-19,5,4,4,5,5,5,5,Performance appraisal process,Veey dissatisfied
Manager,Mumbai,,Network  Department,04-Apr-19,5,5,5,5,5,5,4,Good work environment & good opportunity to skill development.,"They are changing their policy without any information & management never stand on their commitment, HR change their policy everyday. The people have known & relationships with upper management they gets permanent & permotion very easily."
Job Controller,Siliguri,,Lexicon motors Department,07-Jan-21,3,3,4,5,4,4,1,Teamwork,Company facility
Junior Associate.,Pantnagar,,Engineering Department,07-Dec-20,5,1,1,1,1,1,5,,
Die Maintenance,Viramgam,,"Operations, Maintenance & Support Department",19-Aug,5,4,5,4,3,4,4,,
Edp,Deoghar,Full Time,Business Intelligence & Analytics Department,22-Apr,3,2,3,3,4,3,2,"Someone are very well mannered and behaviour is also good,they teach you and give some useful tips by which you can get best sales.",No one like to see achieve success and go to a higher position.
Warranty Engineer,,Full Time,"Operations, Maintenance & Support Department",04-Dec-18,5,4,4,5,5,5,5,Interior line repair man,Lots of things to learn
Repairman,Ahmedabad,,TCF shop Department,07-Jun-19,4,4,4,5,5,5,5,I m really happy to do work in Tata motors,No things in Tata motors about to dislike
Mechanical Engineer,,,"Operations, Maintenance & Support Department",02-Mar-20,5,5,4,4,3,4,4,Good,About  incentives
Quality Analyst,Jamshedpur,,Quality inspection Department,09-Apr-19,5,5,5,5,5,5,5,Team work is good.superviser motivated to do work.salary is good . transport are good....,"I dislike to company job are not life time.
It is a similar period to do work...."
Assistant Workshop Manager,AZAMGARH,,"Operations, Maintenance & Support Department",03-Jun-19,4,5,5,5,5,5,5,new Product good,Company dress code
Ahemdabad,Lucknow,,Department Department,03-Jan-19,4,4,5,4,5,5,5,BETTER WORK FEELING WITH TATA MOTORS,ABOUT SALARY AND INCENTIVE
ASSOCIATE (LOGISTICS & DOCUMENTATION),,,,09-Jan-20,5,3,4,3,3,3,3,,
Sales Manager,Vastral Ahmedabad,,Sales Department,09-May-19,5,3,4,4,4,2,2,,
System Administrator,Noida,,Business Intelligence & Analytics Department,01-Apr-19,5,5,4,3,5,5,2,,
Technician,Pune,Part Time,"Operations, Maintenance & Support Department",01-Sep-18,5,5,5,1,4,4,5,Career,Break period
Sales Executive,BOAKRO STEEL CITY,,,03-Feb-22,4,4,3,3,4,2,4,"Good work culture, timely payment","Nothing, Showroom was very good. But at the time of covid the showroom was closed. And after that they not call me."
Sr. Manager,Lucknow,,SCM & Logistics Department,05-Apr-19,5,4,3,4,4,4,4,Very Good organisation to work.,Unstructured pay scale
Civil Engineer,Jamshedpur,,Construction Engineering Department,02-Mar-19,4,3,5,4,5,4,4,"Free lunch,  Company Culture,",Bound work schedule
Cnc Operator,"Jamshedpur, Jharkhand",,Engineering Department,02-May-23,5,5,5,5,5,5,5,They will be personally teaching you and also make you company visit regularly,Nothing
Senior Executive In Tata Sky,Mohali,,Voice / Blended Department,07-Dec-19,5,5,1,5,2,5,5,Good,Ahemdabad
Quality Inspector,NO,,No Department,07-Sep-19,5,5,2,5,5,5,5,Average,No
"Qa Qc Inspector, Qa Qc Engineer",Rudrapur UK,,"Operations, Maintenance & Support Department",06-Jul-19,5,5,5,3,5,3,4,Learning,Contact job
Business Development Manager,Kolkata,,BD / Pre Sales Department,09-Apr-19,5,4,5,5,5,2,4,Yes,No Reason
Diploma Mechanical Engineer,Mumbai,,Engg Department,09-Jul-19,5,1,5,2,4,4,4,,
Asistant Manager Store (store Head),Kanpur,Full Time,,05-May-19,4,5,3,3,4,4,4,Im freshshear bat good working,My name Babu singh I'm good parishan Hindi @ Eingleh languages toking
Electrical Technician,Jamsedpur,Full Time,"Operations, Maintenance & Support Department",07-Feb-21,4,1,4,3,1,4,1,For apprentice training there is no job security.,We can say best opportunities to learn work and grow. Always simply super
Tsa,Hyderabad,Full Time,Retail & B2C Sales Department,09-Sep-19,4,4,5,4,4,5,4,Sorry nothing to say,Good for learning and carrier development
EXECUTIVE TOWN CONSTRUCTION,Jamshedpir,Full Time,Construction Engineering Department,06-May-19,4,5,5,4,5,4,5,Nothing,Excellent Group
AMR,Indore,Full Time,Collection  Department,02-May-19,5,4,5,5,5,5,5,I like this paint shop area in tata motors lko palant and I like this role regulations..etc,I dislike permanent employee behavior and work criteria and etc
